table,column,java_type,constraints
UserAnswers,UserAnswersId,UUID,PRIMARY KEY
UserAnswers,answer,String,
UserAnswers,isCorrect,boolean,
UserAnswers,QuestionID,UUID,FOREIGN KEY -> cau_hoi.QuestionID
UserAnswers,user_id,UUID,FOREIGN KEY -> nguoi_dung.user_id
UserAnswers,QuizzesID,UUID,FOREIGN KEY -> bai_kiem_tra.QuizzesID
UserAnswers,attempt_number,int,
tu_vung,Vocalb_id,UUID,PRIMARY KEY
tu_vung,words,String,
tu_vung,meanning,String,
tu_vung,vietnamese_pronunciation,String,
tu_vung,wordType,String,
tu_vung,scriptType,String,
tu_vung,kanjiId,UUID,FOREIGN KEY -> han_tu.kanji_id
sample_sentence,sample_sentence_id,UUID,PRIMARY KEY
sample_sentence,japanese_text,String,
sample_sentence,vietnamese_meaning,String,
sample_sentence,vietnamese_pronunciation,String,
report_actions,action_id,UUID,PRIMARY KEY
report_actions,reportid,UUID,FOREIGN KEY -> Reports.reportID
report_actions,action_type,ActionType,
report_actions,note,String,
report_actions,created_at,LocalDateTime,
Reports,reportID,UUID,PRIMARY KEY
Reports,title,String,
Reports,content,String,
Reports,report_at,LocalDate,
Reports,user_id,UUID,FOREIGN KEY -> nguoi_dung.user_id
Reports,blog_id,UUID,FOREIGN KEY -> bai_viet.blog_id
Reports,status,ReportStatus,
reading,readingid,UUID,PRIMARY KEY
reading,reading_text,String,
reading,reading_type,String,
reading,owner_type,String,
reading,owner_id,UUID,
QuizResults,ResultID,UUID,PRIMARY KEY
QuizResults,score,double,
QuizResults,takenAt,LocalDateTime,
QuizResults,QuizzesID,UUID,FOREIGN KEY -> bai_kiem_tra.QuizzesID
QuizResults,user_id,UUID,FOREIGN KEY -> nguoi_dung.user_id
Payment,PaymentID,UUID,PRIMARY KEY
Payment,amount,int,
Payment,status,String,
Payment,paymentDate,LocalDate,
Payment,transaction_id,String,
Payment,payment_method,String,
Payment,order_code,Long,
Payment,user_id,UUID,FOREIGN KEY -> nguoi_dung.user_id
Payment,paid_at,LocalDateTime,
Notifications,NotifiId,UUID,PRIMARY KEY
Notifications,user_id,UUID,FOREIGN KEY -> nguoi_dung.user_id
Notifications,text_notification,String,
Notifications,is_read,boolean,
Notifications,target_id,UUID,
Notifications,target_type,String,
Notifications,update_at,LocalDateTime,
nguoi_dung,user_id,UUID,PRIMARY KEY
nguoi_dung,userName,String,
nguoi_dung,passWord,String,
nguoi_dung,lastName,String,
nguoi_dung,firstName,String,
nguoi_dung,day_of_birth,LocalDate,
nguoi_dung,address,String,
nguoi_dung,avatarUrl,String,
nguoi_dung,vaiTro,Role,
nguoi_dung,verified,boolean,
nguoi_dung,loaiTaiKhoan,AccountType,
nguoi_dung,auth_provider,AuthProvider,
nguoi_dung,provider_id,String,
nguoi_dung,status,Status,
nguoi_dung,create_at,LocalDateTime,
nguoi_dung,update_at,LocalDateTime,
muc_the,CardItemId,UUID,PRIMARY KEY
